id,display_name,price,core_count,core_clock,boost_clock,tdp,integrated_graphics,has_smt
c33c59da-0f18-4fdc-8fe1-9a6248f58858,AMD Ryzen 5 5600X,159.99,6,3.7,4.6,65,,1
1576ca80-798f-4699-a8a5-3d0228fe9be4,AMD Ryzen 7 7800X3D,369.99,8,4.2,5.0,120,Radeon,1
59df9129-f7f9-489f-bd5b-804bf5fe76a6,Intel Core i7-13700K,364.99,16,3.4,5.4,125,Intel UHD Graphics 770,1
51e74515-d38a-4685-9c51-bc2a61188fc3,AMD Ryzen 7 5800X,210.49,8,3.8,4.7,105,,1
8a7cfa83-2898-4dc0-b44f-ce6e52b07c7e,Intel Core i9-13900K,569.99,24,3.0,5.8,125,Intel UHD Graphics 770,1
090e6831-be8c-4fec-8763-93a21caf340f,AMD Ryzen 5 7600X,244.0,6,4.7,5.3,105,Radeon,1
148ea4fa-439b-4687-b8c9-6b943134a550,AMD Ryzen 5 7600,226.99,6,3.8,5.1,65,Radeon,1
bd4a91be-248f-404e-a5f5-5440f6a86151,Intel Core i5-12400F,149.97,6,2.5,4.4,65,,1
9c11c209-1e10-4c2c-ac36-9c329c1d4674,AMD Ryzen 5 5600,134.0,6,3.5,4.4,65,,1
a78eee59-7de1-4c8d-b2b3-3f4e60c59ee2,Intel Core i5-13600K,308.98,14,3.5,5.1,125,Intel UHD Graphics 770,1
9b526315-e3f5-4c94-8882-d29850b93d27,AMD Ryzen 7 7700X,310.0,8,4.5,5.4,105,Radeon,1
11580ce7-3825-4dd1-a976-9d0c8cb95e97,AMD Ryzen 5 3600,84.99,6,3.6,4.2,65,,1
078f9de7-4d53-41fc-988d-561a23a46aa3,AMD Ryzen 5 5500,,6,3.6,4.2,65,,1
120e331b-cf50-48ba-b5bf-b1e56a5d1cba,Intel Core i5-12600K,218.24,10,3.7,4.9,125,Intel UHD Graphics 770,1
ffef56b9-f39c-4359-ba18-9ba721964135,AMD Ryzen 7 5700X,174.99,8,3.4,4.6,65,,1
0e0e2be2-103f-426d-93ab-a169a7d0595c,AMD Ryzen 9 7950X3D,657.0,16,4.2,5.7,120,Radeon,1
b0127e4b-52c0-4aa4-9a0e-8e780e8b01e9,AMD Ryzen 7 5800X3D,304.38,8,3.4,4.5,105,,1
