id,display_name,price,cas_latency,ddr_version,ddr_clock,num_modules,module_size,colour,first_word_latency
f0a9dd29-ff5c-4a86-b890-c7387b6737ac,Corsair Vengeance LPX 16 GB,44.99,16.0,4,3200,8,8,Black / Yellow,10.0
62443d97-f82e-47c2-ba6d-a5f27409ef37,Corsair Vengeance 32 GB,94.99,36.0,5,5600,16,16,Black,12.857
c090c57c-e59a-4c30-a171-0d77f23de46c,Corsair Vengeance RGB Pro 32 GB,94.99,18.0,4,3600,16,16,Black,10.0
7daaabb5-ec17-410f-8294-31c5aa6b6782,G.Skill Trident Z5 RGB 32 GB,109.99,36.0,5,6000,16,16,Black,12.0
afe64a3d-17ab-4d59-90d6-1f6c99a3d19e,Corsair Vengeance LPX 32 GB,79.98,18.0,4,3600,16,16,Black / Yellow,10.0
d64a974d-9805-4aab-ac28-5200977a0f1c,G.Skill Trident Z5 RGB 64 GB,214.99,32.0,5,6400,32,32,Black / Silver,10.0
ea104d74-8c10-4c67-8d54-f626ebbbb0d0,Corsair Vengeance RGB Pro 16 GB,59.99,16.0,4,3200,8,8,Black,10.0
8045f0a3-0ba8-47ab-b87a-bd479f944ef1,Corsair Vengeance RGB 32 GB,119.39,36.0,5,6000,16,16,White,12.0
d763562d-33de-4f42-a042-ecad7e61f2ef,G.Skill Ripjaws S5 32 GB,,30.0,5,6000,16,16,Black,10.0
21a30e8f-a472-4f12-8880-cb1fa9d99776,G.Skill Ripjaws V 32 GB,64.98,16.0,4,3200,16,16,Black,10.0
cf4b6663-a119-4c40-85ba-2b8e4563f0f3,Corsair Vengeance RGB 32 GB,104.99,40.0,5,6000,16,16,Black,13.333
527b0a77-84ba-49d2-b9fa-122d35165dd8,Silicon Power GAMING 16 GB,30.89,16.0,4,3200,8,8,Black / Gray,10.0
f61df76b-5c0f-4e67-b766-b59eb2bd4b0c,G.Skill Flare X5 32 GB,89.99,36.0,5,6000,16,16,Black,12.0
cfaed932-93a8-4a11-8415-eede42092c63,Corsair Vengeance RGB Pro SL 32 GB,89.96,18.0,4,3600,16,16,White / Black,10.0
42e2ee65-3351-43ea-9f26-eeb67cbb0ffd,Corsair Vengeance LPX 16 GB,44.99,18.0,4,3600,8,8,Black,10.0
29666a1e-6f24-4d13-8aec-0cdb5d89328b,G.Skill Trident Z5 Neo RGB 32 GB,119.99,30.0,5,6000,16,16,Black,10.0
41572ae0-c713-486a-8ba5-8e7eab713a2d,TEAMGROUP T-Force Delta RGB 32 GB,104.99,30.0,5,6000,16,16,White,10.0
805b37da-9ff3-43e0-8c3c-733b7469ecbe,G.Skill Flare X5 32 GB,99.99,30.0,5,6000,16,16,Black,10.0
9df074a3-66cb-406d-ae5b-cb6631e00340,Corsair Vengeance 32 GB,109.99,36.0,5,6000,16,16,Black,12.0
c1ade1e5-67df-42e3-b200-6e794f976e4d,TEAMGROUP T-Force Vulcan Z 16 GB,34.99,16.0,4,3200,8,8,Black,10.0
e623ecf5-dd85-4c7f-b98e-6474d4615e03,G.Skill Trident Z5 RGB 32 GB,119.99,32.0,5,6400,16,16,Black,10.0
6c789051-294a-4de5-a4d8-56960cb39e18,Silicon Power GAMING 32 GB,50.97,16.0,4,3200,16,16,Black,10.0
9cad3e83-04e2-4426-91f6-fef9a7fd8919,TEAMGROUP T-Force Delta RGB 32 GB,104.99,30.0,5,6000,16,16,Black,10.0
20f3bfe7-720a-4f88-97d1-8d1f76be8ea7,G.Skill Ripjaws V 16 GB,49.99,16.0,4,3600,8,8,Black,8.889
bca182c7-87a8-40f2-9bcd-5b4286aea318,G.Skill Trident Z5 Neo 64 GB,204.99,30.0,5,6000,32,32,Black / Silver,10.0
6893301f-d37b-4b63-8590-586cc2743b87,Corsair Vengeance LPX 32 GB,64.98,16.0,4,3200,16,16,Black / Yellow,10.0
46e7a89e-4409-4d07-b1f1-100dc6eb24e1,G.Skill Ripjaws V 64 GB,,14.0,4,3200,16,16,Black,8.75
6b42ed0e-9a1d-4e4b-af01-37b629c21c76,Corsair Vengeance RGB Pro 16 GB,59.99,16.0,4,3200,8,8,White,10.0
135eac69-2949-4a66-a7a6-af809d281e55,G.Skill Trident Z RGB 32 GB,77.99,16.0,4,3200,16,16,Black,10.0
29569329-f733-4c5d-93ca-91194e8ab412,Corsair Vengeance 64 GB,169.99,40.0,5,5200,32,32,Black,15.385
43a967e3-7b0f-4d3f-9feb-8e88c2b491f6,G.Skill Ripjaws S5 32 GB,87.99,36.0,5,6000,16,16,Black,12.0
2ce9973c-998e-4727-aed4-a1d35db71b6f,Kingston FURY Beast 16 GB,45.69,16.0,4,3200,8,8,Black,10.0
20591cf7-d15e-4e02-9a8f-d114041fb376,Corsair Dominator Platinum 32 GB,1674.47,15.0,4,2666,8,8,Black / Silver,11.253
75814a08-fe59-42aa-8839-a719e5ce3dac,Corsair Vengeance LPX 64 GB,117.99,16.0,4,3200,32,32,Black / Yellow,10.0
ee8f2eed-afbe-465f-a39d-1cff3cdc711e,Corsair Vengeance 16 GB,69.98,40.0,5,5200,8,8,Black,15.385
042fbb6c-d160-4b5b-a647-980b069598cf,Corsair Vengeance RGB 32 GB,104.99,36.0,5,6000,16,16,Black,12.0
5632d44e-b92f-4893-904f-909fe7eff4f2,G.Skill Trident Z5 RGB 32 GB,139.99,34.0,5,7200,16,16,Black,9.444
da43d271-5a1e-45d4-b512-fcb936dced1b,TEAMGROUP T-Force Delta RGB 16 GB,45.99,18.0,4,3600,8,8,Black,10.0
be9cb955-61fc-4dca-9736-a968f3e094fc,G.Skill Ripjaws V 32 GB,79.98,16.0,4,3600,16,16,Black,8.889
9e126430-6ed0-4b4c-81ad-79fcc51d2487,TEAMGROUP T-Force Vulcan Z 32 GB,60.99,18.0,4,3600,16,16,Black,10.0
66244304-aa5a-44c7-95ff-615898fb29c1,Corsair Vengeance RGB 64 GB,209.99,40.0,5,6000,32,32,Black,13.333
b1ac2b92-e147-4717-8422-5d93453f4612,Corsair Dominator Platinum RGB 32 GB,164.99,36.0,5,6200,16,16,White,11.613
8e5be3a3-92c7-4275-9b5f-7865fdf159a6,G.Skill Ripjaws V 16 GB,38.9,16.0,4,3200,8,8,Black,10.0
ef2c8db5-1820-43bc-8ed0-2f682b5c5f7b,TEAMGROUP T-Force Delta RGB 32 GB,73.2,18.0,4,3600,16,16,White,10.0
07d6efd0-791b-4f18-bb93-4542de7326ba,G.Skill Ripjaws 4 16 GB,,15.0,4,3000,8,8,Blue,10.0
68d207ba-311d-406a-9abe-bbb3601a8c11,G.Skill Trident Z RGB 16 GB,57.99,18.0,4,3600,8,8,Black,10.0
54866592-8c92-4a13-9bc6-d9524f4ca219,G.Skill Ripjaws S5 32 GB,99.99,28.0,5,5600,16,16,Black,10.0
a45cb509-3586-447b-91fb-3b78ee80c03d,Kingston FURY Beast 32 GB,59.99,16.0,4,3200,16,16,Black,10.0
5f3b9d0c-2c35-44bb-9ac8-c11c27a6f776,Corsair Vengeance 32 GB,114.99,30.0,5,6000,16,16,Black / Gray,10.0
999ad67b-f3e2-4885-ac58-b1b937c08e15,Silicon Power XPOWER Turbine 16 GB,31.97,16.0,4,3200,8,8,Blue,10.0
a715026e-1fcc-4e52-aab6-f699771feddd,Crucial Pro 32 GB,76.48,46.0,5,5600,16,16,Black,16.429
76c170f0-3ede-425f-b947-b3480719add2,Kingston FURY 128 GB,459.97,40.0,5,5600,32,32,White,14.286
6dfe76c3-2290-4f83-bb31-49851f527067,Corsair Vengeance 32 GB,99.99,40.0,5,5200,16,16,Black,15.385
c9deacfb-233c-4dea-8bd7-7a7b94bae442,G.Skill Ripjaws S5 64 GB,199.99,30.0,5,6000,32,32,Black,10.0
9b7651fb-0f2e-4463-a7ab-7d43253ed6e7,Corsair Vengeance 96 GB,339.99,32.0,5,6400,48,48,Black,10.0
c0e54256-6412-4f38-b5a2-11459562c2a6,Kingston FURY Beast 16 GB,75.15,40.0,5,5200,8,8,Black,15.385
cea670e2-ff10-4ff0-9fb2-77897acdfe8e,TEAMGROUP T-Force Delta RGB 32 GB,75.98,18.0,4,3600,16,16,Black,10.0
891031ce-7fec-4f90-b0de-b449eed7fdba,G.Skill Trident Z Royal 256 GB,1599.0,18.0,4,3600,32,32,Gold,10.0
1d6b1a0d-ae8e-4b92-b694-7400eed95888,Silicon Power SP016GBLFU320B22 16 GB,28.99,22.0,4,3200,8,8,,13.75
bac95b89-5cc8-4297-baa0-d21f558e7c3f,Kingston FURY Beast 32 GB,129.99,36.0,5,6000,16,16,Black,12.0
d9eaefb4-a490-47cd-a01d-a028ee5d9967,Corsair Vengeance 32 GB,87.99,36.0,5,6000,16,16,Black,12.0
23287f5d-4799-41d9-9e85-e6a54ee718bf,G.Skill Flare X5 64 GB,199.99,30.0,5,6000,32,32,Black,10.0
74e6be94-0b3c-44a9-b629-237da30e8d4b,Corsair Vengeance RGB Pro 32 GB,89.99,16.0,4,3200,16,16,Black,10.0
7e92da31-220e-4adf-b186-c381170a7ccc,G.Skill Trident Z5 Neo 32 GB,109.99,30.0,5,6000,16,16,Black,10.0
18f37b99-251a-46c6-a817-51462f6e84be,Crucial CT2K8G48C40U5 16 GB,45.99,40.0,5,4800,8,8,Black,16.667
4d413853-2be7-4e37-83ca-e71b210692f6,Corsair Dominator Platinum RGB 64 GB,324.99,40.0,5,6800,32,32,Black,11.765
17863737-59e4-4db0-b223-12c9af0f1e86,G.Skill Ripjaws V 32 GB,66.99,18.0,4,3600,16,16,Black,10.0
a1f47fab-12a7-4bab-bd66-d0c227ede5f5,Corsair Vengeance LPX 8 GB,24.99,16.0,4,2400,8,8,Black / Yellow,13.333
48f5249b-e4d7-4c1e-ad1e-53447fe81e59,Crucial Pro 32 GB,58.99,22.0,4,3200,16,16,Black,13.75
3f3c9ee7-1d99-4727-a26c-60e7166378a6,TEAMGROUP T-Create Expert 32 GB,104.99,30.0,5,6000,16,16,Black,10.0
01e8d21a-6644-45cc-95a8-aa2770c6d757,Corsair Vengeance RGB 32 GB,124.99,30.0,5,6000,16,16,Gray,10.0
1566317f-78e4-4269-8f29-7aea1f6dfcbf,G.Skill Aegis 16 GB,39.99,16.0,4,3200,8,8,Red / Black,10.0
55e9fe55-21bd-4e43-88ed-96cf5351fbed,Kingston FURY Beast RGB 32 GB,139.75,36.0,5,6000,16,16,Black,12.0
c7b84a9c-ea7c-47e3-bdca-80a54aaba2fd,TEAMGROUP T-Force Delta RGB 16 GB,45.99,18.0,4,3600,8,8,White,10.0
1e0bb875-1166-4580-b04d-3caba4f26e94,G.Skill Trident Z5 Neo RGB 64 GB,207.99,30.0,5,6000,32,32,Black / Silver,10.0
27361eac-7c7a-4773-960f-84a6b9a77f31,G.Skill Ripjaws V 16 GB,39.99,18.0,4,3600,8,8,Black,10.0
6124e74f-824d-4589-a1b3-18d160f65066,Corsair Vengeance RGB 128 GB,444.99,40.0,5,5600,32,32,Black,14.286
2afe3bb2-4b6b-463d-8969-55aa1a222726,Corsair Vengeance 64 GB,236.45,32.0,5,6600,32,32,Black / Gray,9.697
b632b678-f295-44f9-adfa-0fa2b8e0b774,Corsair Vengeance 64 GB,179.99,40.0,5,5600,32,32,Black,14.286
7cf47428-a762-420c-9550-3097946ecf9b,G.Skill Ripjaws S5 32 GB,104.99,32.0,5,6400,16,16,Black,10.0
ca88d5c0-58e8-469f-bada-d9a108f9a14b,Patriot Viper Black 16 GB,57.99,36.0,5,5200,8,8,Black / White,13.846
4d2cd04f-b7f1-4ee4-96cf-cbf6143381fb,G.Skill Ripjaws S5 32 GB,102.99,30.0,5,6000,16,16,White,10.0
6eee58d4-cebc-4b13-a474-bdd2be236e42,Corsair Vengeance 64 GB,204.99,32.0,5,6400,32,32,Black / Gray,10.0
cb09a0e9-88f9-4edd-9e33-0454dd6d7ef0,G.Skill Trident Z Neo 32 GB,97.99,16.0,4,3600,16,16,Black / Silver,8.889
ca66d1d2-3fe4-4d18-8c21-4b0ac1c41edc,TEAMGROUP T-Create Expert 32 GB,79.99,38.0,5,6000,16,16,Black,12.667
198ddfcf-5852-4644-a19c-b0ecc00e3f08,G.Skill Trident Z5 RGB 48 GB,279.99,40.0,5,8000,24,24,Black,10.0
bfe844c2-6e47-4149-9d41-b55f82ec740f,TEAMGROUP Vulcan Z 16 GB,35.99,18.0,4,3600,8,8,Black,10.0
37b731d0-c8e8-4966-88b2-e5f613880fb8,Corsair Dominator Platinum RGB 32 GB,149.99,36.0,5,6200,16,16,Black,11.613
e4ae3034-3af2-4518-88ad-830ebce21dc8,Corsair Vengeance RGB 32 GB,99.99,40.0,5,5200,16,16,Black,15.385
3bd573f3-12b9-42a4-bd2a-a101f4f5b675,G.Skill Trident Z5 RGB 32 GB,1935.33,36.0,5,5600,16,16,White / Black,12.857
334f3e77-06e3-40f3-a702-f4c9d9504eb1,Corsair Vengeance 32 GB,124.99,32.0,5,6400,16,16,Black,10.0
21d54bc4-1ed9-4a14-8cbe-ec8822e0f428,Corsair Vengeance RGB Pro 32 GB,89.99,16.0,4,3200,16,16,White,10.0
f3048d60-d465-4d45-9a19-91214299148f,Corsair Vengeance RGB Pro 16 GB,57.99,18.0,4,3600,8,8,Black,10.0
de2dd44f-432a-4655-84f0-6a10be86e657,TEAMGROUP T-Force Delta RGB 32 GB,92.99,38.0,5,6000,16,16,White,12.667
d1902666-1f09-4ae3-a6ee-9a014bac31fd,G.Skill Ripjaws V 64 GB,117.99,18.0,4,3600,32,32,Black,10.0
66b78fc0-ac1a-48c8-af07-cbf9da7a43a1,G.Skill Flare X5 32 GB,94.99,32.0,5,6000,16,16,Black,10.667
c7969d48-07e1-4c71-90d5-00e82fc1b3ff,Kingston ValueRAM 4 GB,7.38,22.0,4,3200,4,4,Green,13.75
137ae3ff-2ad0-4b11-ab6c-33851687c772,G.Skill Trident Z5 RGB 96 GB,399.99,34.0,5,6800,48,48,Black,10.0
8b0bfc1a-4a0f-4362-8ea5-3f6298b573f5,G.Skill Trident Z RGB 32 GB,79.99,18.0,4,3600,16,16,Black,10.0
c8336dc0-f715-49c3-93f2-1779213152f1,Corsair Vengeance 32 GB,164.99,34.0,5,7200,16,16,Gray,9.444
1e0d31b9-d67d-4997-b842-9e6686287fb6,Kingston HyperX Fury 16 GB,,16.0,4,3200,8,8,Black / Silver,10.0
989ca199-4607-48c9-91cb-da671d0a7f74,TEAMGROUP Elite 32 GB,48.49,22.0,4,3200,16,16,Black,13.75
c8608ec9-8ce2-4977-afd9-22d2997a4859,Kingston FURY Beast 8 GB,29.31,16.0,4,3200,8,8,Black,10.0
a9296547-b915-45d4-bd56-c2b758c8c67b,Kingston ValueRAM 1 GB,10.0,5.0,2,667,1,1,Green,14.993
5cf4ca9b-09eb-42ec-8441-5b57b1922059,Corsair Vengeance 16 GB,79.98,9.0,3,1600,8,8,Black / Yellow,11.25
2fbc891c-a5c2-4d34-ab93-3504ea8f23d0,G.Skill Trident Z5 RGB 64 GB,269.99,34.0,5,6800,32,32,Black,10.0
d3535254-14cc-451d-b553-c368db29a6a4,G.Skill Ripjaws V 32 GB,72.98,18.0,4,4000,16,16,Black,9.0
ff64cb85-46e4-4b8e-a2d3-7561587df445,Corsair Vengeance LPX 16 GB,39.99,16.0,4,3200,8,8,Black,10.0
3ddb9372-c8fd-4407-b78c-0717110b644c,TEAMGROUP T-Force Delta RGB 48 GB,,38.0,5,8200,24,24,Black,9.268
8a6e5029-b823-46e2-b309-1f39cf918f38,Corsair Dominator Platinum RGB 64 GB,369.99,32.0,5,6600,16,16,Black,9.697
5b406d1f-0a0b-43c8-8710-58f8b76eafa2,Corsair Vengeance RGB Pro 32 GB,109.99,16.0,4,3200,8,8,Black,10.0
a0e23413-b5d2-4a70-9ad4-eb61d0617644,Kingston FURY Beast 16 GB,79.99,40.0,5,6000,8,8,Black,13.333
061db63b-b7c6-40de-ac4b-f891620081d1,Corsair Vengeance RGB 192 GB,689.99,38.0,5,5200,48,48,Black,14.615
56f8dfce-3b6d-43ca-931b-451e94ab00aa,TEAMGROUP T-Create Expert 32 GB,58.99,18.0,4,3600,16,16,Gray,10.0
dc62fd85-bc0d-43f2-a25b-716345125a9c,TEAMGROUP T-Force Delta RGB 16 GB,44.99,16.0,4,3200,8,8,White,10.0
659ae5a5-d027-4d2b-b9f8-a7c41f5c571f,G.Skill Trident Z RGB 64 GB,139.99,18.0,4,3600,32,32,Black,10.0
8c458154-da31-42f8-8fbb-1d98e448ec46,Corsair Vengeance RGB 32 GB,94.99,36.0,5,5600,16,16,Black / Gray,12.857
0e019e46-1b33-4bc8-b89a-74d222e03029,Kingston FURY Renegade 32 GB,90.81,16.0,4,3600,16,16,Black,8.889
65cb9680-0299-4f3a-8d01-1ba9d8fcb726,TEAMGROUP T-Create Expert 32 GB,57.99,16.0,4,3200,16,16,Gray,10.0
53b51f6e-6b2c-4ecd-ade1-d10ba5e5f65a,Corsair Vengeance RGB 32 GB,105.0,32.0,5,6400,16,16,Black / Gray,10.0
8a5cd032-8246-4ebc-8fe8-38e8fb2d0bad,TEAMGROUP Elite 16 GB,,22.0,4,3200,8,8,Black,13.75
d5088813-c5bb-4185-9217-70708087a997,Silicon Power XPOWER Zenith Gaming 32 GB,69.97,40.0,5,6000,16,16,White,13.333
5ced7c9e-51c6-4dec-b430-485e1e85c03a,Kingston FURY Beast RGB 16 GB,89.99,40.0,5,6000,8,8,Black,13.333
f0161cda-8713-42d1-9e40-e71900d16223,Patriot Viper Steel 16 GB,,16.0,4,3200,8,8,Silver / Black,10.0
b53adabe-b3ff-4e0b-89f5-6a26e952ae65,Corsair Vengeance 128 GB,439.99,40.0,5,5600,32,32,Black,14.286
b14c2bf3-f0e8-4b47-ba48-4a86e5c4243f,G.Skill Aegis 32 GB,62.99,16.0,4,3200,16,16,Red / Black,10.0
aaa829ca-55bb-4e1a-8e25-fdcb010d58d3,Corsair Vengeance LPX 16 GB,44.99,16.0,4,3200,8,8,White,10.0
f9f375b7-88a7-4919-abd7-6e09db0bb02d,Silicon Power SP032GXLWU600FDEAE 32 GB,,40.0,5,6000,16,16,Black,13.333
03b1d52b-5e12-4d27-be50-5bc0b75fee61,Samsung M378A1K43CB2-CRC 8 GB,14.24,17.0,4,2400,8,8,Green,14.167
67f53919-342d-4975-9e02-0ba1cfc4efa0,TEAMGROUP T-Force Vulcan Z 32 GB,59.99,16.0,4,3200,16,16,Gray,10.0
4c7cec76-14e9-4782-a3fe-5c429d6127a2,Kingston FURY Beast RGB 16 GB,54.99,16.0,4,3200,8,8,Black,10.0
0353aebf-d35c-472e-90ed-0f3c75bb9846,Corsair Vengeance 64 GB,209.99,30.0,5,6000,32,32,Black / Gray,10.0
f83f9058-098c-47d7-9d58-db6c2a27cec0,Crucial CT2K8G4DFRA32A 16 GB,34.99,22.0,4,3200,8,8,Green,13.75
