id,display_name,price,cpu_socket,form_factor,max_memory,num_memory_slots,colour
941709db-16b1-4342-8e6c-d4db213c73cd,MSI B550 GAMING GEN3,119.99,AM4,ATX,128,4,Black
6a946ae2-7652-4547-af89-37115fb54e6b,Gigabyte B650 AORUS ELITE AX,219.99,AM5,ATX,192,4,Black / Silver
d8ebb9f0-f8bf-4288-9935-868ba0732e75,Gigabyte Z790 AORUS ELITE AX,249.99,LGA1700,ATX,192,4,Black
3dc4e04f-2668-4a63-8cd7-8c5ed3033c1b,MSI MAG B550 TOMAHAWK,169.99,AM4,ATX,128,4,Black / Silver
38b08a7d-e206-40de-95a3-7f02b829b9f9,Asus ROG STRIX B550-F GAMING WIFI II,169.99,AM4,ATX,128,4,Black / Red
bd43dab6-aa43-4dd9-92e2-7dedcfe282e9,MSI MAG B650 TOMAHAWK WIFI,219.95,AM5,ATX,192,4,Black
d7c18ffc-43ab-4ccd-bb4e-8c2e33893b1e,MSI MAG Z790 TOMAHAWK WIFI,249.99,LGA1700,ATX,192,4,Black
0ded8c26-ed3c-4a12-b2c1-63bb96582185,Gigabyte B650 GAMING X AX,189.99,AM5,ATX,192,4,Black / Gray
81845ed8-08ca-460e-8fcf-fe67f077360e,MSI B550-A PRO,129.99,AM4,ATX,128,4,Black / Silver
afac2742-e0f3-414c-9192-e23ee1b5afa5,MSI PRO B760-P WIFI DDR4,159.99,LGA1700,ATX,128,4,Black
9c94bdb5-6170-4521-8fcb-3353bbd3d06c,Asus Prime B450M-A II,79.98,AM4,Micro ATX,128,4,
5cf1520e-ca5f-4a6e-b76a-53915dcd7fc8,MSI B550M PRO-VDH WIFI,119.99,AM4,Micro ATX,128,4,Black
5849f36c-87ab-4485-aae3-83d87d5a4579,ASRock B660M Pro RS,99.99,LGA1700,Micro ATX,128,4,Gray / Black
208ac6e2-0c1f-4ab6-b117-ed14dbb239ed,ASRock B650M Pro RS WiFi,149.99,AM5,Micro ATX,192,4,Black / Silver
274a67ee-ca7a-4d57-b515-23ed6811620c,MSI B450M PRO-VDH MAX,74.98,AM4,Micro ATX,64,4,Black / Silver
e00fb87b-3a3c-455c-88fa-739b5fc6d3e5,Asus ROG STRIX B650-A GAMING WIFI,219.99,AM5,ATX,192,4,Black / Silver
9ecaee6a-639d-4c09-981e-d6596aa3cb3f,MSI PRO B650M-A WIFI,149.99,AM5,Micro ATX,192,4,Black
21cdf664-cf7f-41ad-81dc-c2f33b2372ed,MSI PRO Z790-P WIFI,208.99,LGA1700,ATX,192,4,Black / Silver
87a2987c-17b0-4aff-b044-8b00bcec32f2,MSI PRO B550M-VC WIFI,112.01,AM4,Micro ATX,128,4,Black
4cafaf80-b7c3-4c96-9967-48f365dda76b,Asus ROG STRIX B550-A GAMING,169.99,AM4,ATX,128,4,Black / White
959c3abb-0eac-4903-8695-222e1fd434df,MSI B650 GAMING PLUS WIFI,179.99,AM5,ATX,192,4,Black
4181ee73-a6f4-4890-adec-9a9e7aa5231e,Asus ROG STRIX B650E-F GAMING WIFI,251.0,AM5,ATX,192,4,Black
