id,display_name,price,type,efficiency,wattage,modular,colour
d5923271-edc0-40aa-a0c4-6216cefaee17,Corsair RM750e (2023),99.99,ATX,gold,750,Full,Black
0deee083-fa26-4dac-9345-41edcc1826c7,Corsair RM850x (2021),134.99,ATX,gold,850,Full,Black
1ebc78f0-f3d6-4693-b059-cf8185ad1032,Corsair RM1000x (2021),169.99,ATX,gold,1000,Full,Black
f03fd4ce-e1dd-4d00-b6ac-5b86dadc39ba,Corsair RM850e (2023),119.99,ATX,gold,850,Full,Black
de7beb5d-8f06-4014-bea8-c073b75257f8,Thermaltake Toughpower GX2,64.79,ATX,gold,600,False,Black
e8fa5c6e-4ee6-4a58-8730-51607a07c106,Corsair RM1000e (2023),159.99,ATX,gold,1000,Full,Black
e9284478-7cf8-4543-ab06-74b0ff81d3fd,Corsair CX650M (2021),69.99,ATX,bronze,650,Semi,Black
f64c4e7d-b8c1-4170-a1e3-e80a76e01386,Thermaltake Smart,39.95,ATX,plus,500,False,
45307553-13ce-4757-8295-990f312c9bcd,Corsair SF750,163.49,SFX,platinum,750,Full,
02b09991-2296-4cc2-afeb-b6fa051926da,Corsair HX1200 Platinum,294.99,ATX,platinum,1200,Full,
5adf50f0-fb4a-4d41-93f5-cbddd263f431,Cooler Master MWE Gold 850 - V2,95.99,ATX,gold,850,Full,Black
03326d99-ba97-4790-91a7-b5a54b4e32cb,Corsair RM850,124.99,ATX,gold,850,Full,White / Black
7fbfd18a-e6b8-4e5b-a2ba-a6f588abe3d2,EVGA 600 GD,69.99,ATX,gold,600,False,Black
5865b551-b955-42a7-91b7-8aa254535b9e,Thermaltake Smart,44.99,ATX,plus,600,False,
b1e79152-7d96-4c8b-a576-1444f844cfa6,SeaSonic FOCUS Plus 650 Gold,89.99,ATX,gold,650,Full,
5324d1a8-a653-46a2-a545-98b97542c963,MSI MPG A650GF,106.99,ATX,gold,650,Full,Black
b5d31809-a827-4af7-8a7b-8e388a2a005f,Corsair RM750x (2021),119.99,ATX,gold,750,Full,Black
23238de0-8402-4673-870a-ea9a4a137b0e,Asus ROG THOR 1600T Gaming,655.99,ATX,titanium,1600,Full,Silver / Black
1cddb643-500b-4769-b4f5-600ff2ccd3c4,Corsair CV650,,ATX,bronze,650,False,Black
0d051d90-aedd-4bbf-8dd5-fc242c1d9c49,Cooler Master V850 SFX GOLD,139.99,SFX,gold,850,Full,Black
d20a96c3-259d-4411-a4d9-72cfda0b773f,Apevia Prestige,51.99,ATX,gold,600,False,Black
52c7a5ff-793e-455f-ad87-2316c4c48e6b,Gigabyte UD850GM,114.99,ATX,gold,850,Full,Black
58b528a8-237e-4262-a7f8-458282947dbd,Gigabyte UD750GM,126.67,ATX,gold,750,Full,Black
65adf0a9-c24e-4b4b-8d76-e1db4f7707e3,Corsair AX1600i,609.99,ATX,titanium,1600,Full,
