id,display_name,price,capacity,type,cache_size,form_factor,interface
30f29b51-3c2b-4812-8720-b92c315befab,Samsung 980 Pro,137.0,2000.0,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
a0895125-8e76-4940-8c8c-8fa6b0aca097,Samsung 970 Evo Plus,69.98,1000.0,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
91797345-f1cf-4435-9de0-cd00355486fb,Samsung 970 Evo Plus,117.59,2000.0,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
16376137-aee7-4ba1-8f8d-6a820b89c730,Samsung 980 Pro,80.53,1000.0,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
d48f0b09-6b15-4fac-9df2-8074c1de3dba,Samsung 990 Pro,139.97,2000.0,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
b21f2617-b517-4fd1-9832-af9c4ad9a3fa,Kingston NV2,41.0,1000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
ffbab898-a435-4b65-9d9a-5f97c8b3061a,Seagate Barracuda Compute,57.99,2000.0,7200,256.0,3.5,SATA 6.0 Gb/s
9b216a6d-9a3e-46a8-b54c-0b51ffc25d3c,Crucial P3,42.99,1000.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
5bacf492-9b9d-45ec-bbff-ca6c39af4e15,Western Digital Black SN850X,129.99,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
b358611e-3d2b-4f46-bbfc-abc87a5884bf,Crucial P5 Plus,104.99,2000.0,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
5f495aba-63e3-4dea-aa83-6ef664447066,Samsung 970 Evo Plus,40.5,500.0,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
d5c5e53f-ee9e-4c9d-8cc4-c6c2562827fe,Samsung 870 Evo,59.99,1000.0,SSD,1024.0,2.5,SATA 6.0 Gb/s
fd02e30f-2d52-4e49-a800-41361b8968e6,Western Digital Black SN850X,278.0,4000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
dabc8135-0ea7-447d-b728-61afcfdb5e83,Crucial P3 Plus,44.99,1000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
3ee0af3b-661f-4c0c-8ba0-fbd230df3009,Mushkin Source HC,2068.86,16000.0,SSD,,2.5,SATA 6.0 Gb/s
9239863a-5bbd-464d-ab2e-50563cbfefde,MSI SPATIUM M450,34.99,1000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
b8dcd911-9acf-4046-b546-30efea3058a2,Western Digital Black SN770,64.98,1000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
0adbef5d-9432-47ca-987f-44b07ccf4a26,Crucial P3 Plus,87.99,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
ae8d33b3-050d-4458-a0c6-4d362cdf60a8,Seagate BarraCuda,74.99,4000.0,5400,256.0,3.5,SATA 6.0 Gb/s
8ecf7eea-fe1a-4581-b40c-3f314d4e1a62,Crucial P5 Plus,53.99,1000.0,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
de2c5215-05a9-401d-ae11-d97720e0f16d,Samsung 990 Pro,84.99,1000.0,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
92fe5ee8-c441-49c1-bf34-af53c21f4731,Kingston NV2,89.99,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
eefb9f30-24aa-4b33-a30d-b6eea81f3d60,Western Digital Blue SN570,47.0,1000.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
80b33e03-f0c1-4a31-a9ab-b17fd9a94e39,Sabrent Rocket 4 Plus,999.99,8000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
2744ab84-20dc-4392-a0ff-b5b91f2be9a8,Samsung 870 Evo,199.99,4000.0,SSD,4096.0,2.5,SATA 6.0 Gb/s
3e52a9f0-cc7e-4bbe-b599-4a0a2419b87f,Samsung 870 Evo,119.99,2000.0,SSD,2048.0,2.5,SATA 6.0 Gb/s
d1e452ab-3811-4937-a4fb-e09e19fc4f04,Samsung 990 Pro,299.99,4000.0,SSD,4096.0,M.2-2280,M.2 PCIe 4.0 X4
9aed3f54-1b30-41e3-8bcd-47674eb119b0,Western Digital Black SN770,114.99,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
bea559e5-73ec-462c-9874-4d4995fe8c0d,TEAMGROUP MP33,39.99,1000.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
16ef4566-bc9c-4b0c-a6b0-3320312269ae,Western Digital Black SN850X,69.98,1000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
1c9bc55c-347f-4a0e-a6fd-9dce046dfe13,Crucial T700,479.99,4000.0,SSD,,M.2-2280,M.2 PCIe 5.0 X4
6aa1878b-dcf7-4e15-9a9b-ef451e3d05f9,Intel 750,2488.87,1200.0,SSD,,PCIe,PCIe x4
350a568b-2021-4fe8-aa43-a30f1bc856f9,Crucial P3,26.99,500.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
e9fbe34d-a7c5-4387-a21a-7da29bbece3f,Western Digital Caviar Blue,42.5,1000.0,7200,64.0,3.5,SATA 6.0 Gb/s
d1d22135-e781-4fab-a1aa-8d4e46842594,Crucial P3,79.98,2000.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
3eaa6ef9-58e2-4231-8a71-a96c4f770998,Samsung 870 QVO,340.29,8000.0,SSD,,2.5,SATA 6.0 Gb/s
adc97d58-bec0-45b1-95a0-8530f6e7150e,Seagate BarraCuda,48.96,1000.0,7200,64.0,3.5,SATA 6.0 Gb/s
b62e61fa-359d-477e-8f94-1484fc10a7d1,Western Digital Gold,549.99,22000.0,7200,512.0,3.5,SATA 6.0 Gb/s
bb550696-96ea-4d8b-8754-05a3f5946a79,Samsung 980,59.99,1000.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
4fb37dd2-af87-49a2-ac59-9b0bf6985d20,TEAMGROUP MP33,70.97,2000.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
7f1b73a9-3b5f-4f27-b9b3-6a5608ec6873,Crucial P3 Plus,204.99,4000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
8325708e-661b-4172-9ade-a5dd3a510f60,TEAMGROUP MP33,26.49,512.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
32ecac85-c665-44cd-94ee-a8aa54f27a54,Kingston KC3000,122.13,2048.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
9dd59527-ed2b-4111-b125-8d554df51908,Seagate IronWolf Pro NAS,399.0,22000.0,7200,512.0,3.5,SATA 6.0 Gb/s
3436bbed-050f-47ae-89ce-fc358892daeb,Seagate Barracuda Compute,109.99,8000.0,5400,256.0,3.5,SATA 6.0 Gb/s
5b74a6ab-af8e-4bd4-921f-a0bbb34f3241,Solidigm P41 Plus,79.99,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
60b2eaac-e762-413f-b558-9ca0b62c9905,Crucial MX500,45.99,1000.0,SSD,1024.0,2.5,SATA 6.0 Gb/s
21d6e156-d405-4345-9d08-7409415ef8db,TEAMGROUP MP44L,82.99,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
53f67e19-2043-425f-b6ba-7426449ba8a7,Samsung 980 Pro,64.4,500.0,SSD,512.0,M.2-2280,M.2 PCIe 4.0 X4
c2f4a342-5107-4d92-bdcc-305cb15d0145,Crucial T700 W/Heatsink,452.08,4000.0,SSD,,M.2-2280,M.2 PCIe 5.0 X4
dec9f47d-58e5-4d09-ae00-5f151e785146,Toshiba MK3276GSX,9.98,320.0,5400,8.0,2.5,SATA 3.0 Gb/s
672a0b2b-2070-4aa6-9686-c56daf528b0e,Samsung 990 Pro w/Heatsink,144.99,2000.0,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
f385470f-5370-46ea-a551-bba9dd0fda48,Kingston A400,21.99,240.0,SSD,,2.5,SATA 6.0 Gb/s
504a6b8c-ae91-4925-a528-58172dba67f9,Samsung 870 Evo,39.99,500.0,SSD,512.0,2.5,SATA 6.0 Gb/s
d84b8a10-5e0b-49d1-ac0c-10d6d4a195ca,Kingston NV2,41.99,500.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
e712453e-5bed-4c8b-9ffd-536040756ae6,Solidigm P41 Plus,45.99,1000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
5f2022f7-ef09-4b46-a80e-4d5040d6f329,Crucial T700,159.99,1000.0,SSD,,M.2-2280,M.2 PCIe 5.0 X4
7abf87b7-229f-4398-a130-9af2f9c5999f,Corsair MP600 CORE XT,159.99,4000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
1aa0784d-ef07-4647-9033-8aefcbb12030,Western Digital Blue,51.99,2000.0,7200,256.0,3.5,SATA 6.0 Gb/s
fffa61bd-121b-44e1-a0f9-1d5afa708bf3,Intel 670p,102.11,2000.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
7fb337a6-c2c2-451b-a98e-f82a76c2288e,Silicon Power A60,42.97,1000.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
a8010c52-7d27-41cf-a8f6-63c290a1e532,Samsung 970 Evo Plus,31.25,250.0,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
f4321460-b404-438e-a433-40ece6b280bb,Western Digital Blue SN570,37.33,500.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
f397007e-8164-4a21-a954-db1319c60f2e,TEAMGROUP QX,,15300.0,SSD,,2.5,SATA 6.0 Gb/s
d0511f2f-63ac-4222-9ec0-578e25c360cf,Crucial T700,236.28,2000.0,SSD,,M.2-2280,M.2 PCIe 5.0 X4
ba7855a8-6061-4f00-a7d4-2bd9b5d7e7db,Mushkin ALPHA,1488.88,8000.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ad4743a6-b5f4-49a2-875e-1fc90b3fe31d,SK Hynix Platinum P41,154.99,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
2ec460d0-aee2-4ee3-84c5-c773543436f8,Kingston KC3000,69.98,1024.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
b0315d18-65ba-4bac-880e-60e9859f2acc,Corsair MP600 PRO NH,874.99,8000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
8953ba91-4a35-49d7-afe2-fdafff61d595,Seagate BarraCuda,22.99,1000.0,7200,64.0,3.5,SATA 6.0 Gb/s
7ac22b72-007b-4cee-beb1-734e2054d87d,Crucial MX500,102.99,2000.0,SSD,2048.0,2.5,SATA 6.0 Gb/s
24a06c64-5da2-491f-b6cd-99d55259fc08,Intel DC P3608,,4000.0,SSD,,PCIe,PCIe x8
3b7b75b5-2ab2-4082-94db-46a38af52d32,Crucial P3 Plus,29.99,500.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
e3753814-05e9-4609-823d-5a81be547202,Crucial P3,167.16,4000.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
91661100-d3a6-4265-bb06-3722fec46fef,MSI SPATIUM M371,39.99,1000.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
1c50d489-5166-40b1-a70e-9582f40fe762,Samsung 980 Pro w/Heatsink,129.99,2000.0,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
886777f4-fa9b-4fc9-b1e5-0f92d56521c6,Seagate Exos X20,289.99,20000.0,7200,256.0,3.5,SATA 6.0 Gb/s
3f200726-1924-410a-9a79-e00dfe3e5861,ADATA XPG GAMMIX S70 Blade,115.46,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
77b66a6d-2aea-4f06-9918-fc0b77847fae,TEAMGROUP Cardea Zero Z440,84.99,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
d57011ab-7bd8-495d-b306-3c901827ac60,Corsair MP700,289.99,2000.0,SSD,,M.2-2280,M.2 PCIe 5.0 X4
dd5f07c5-7d7e-4b71-b2d1-bd614075870f,Kingston Fury Renegade,134.07,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
0684551d-4c6a-4966-988c-d56cdd6bd1cf,TEAMGROUP EX2,1699.99,16000.0,SSD,,2.5,SATA 6.0 Gb/s
5073c92d-922e-4295-9d28-d2771c049b36,Western Digital Blue SN580,55.98,1000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
168f31a9-8448-41cf-9445-ff57275d59f3,TEAMGROUP MP34,77.98,2000.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
e739f3b4-4287-4a17-a36f-47c9cb5e5e9a,Western Digital WD_BLACK,132.29,4000.0,7200,256.0,3.5,SATA 6.0 Gb/s
